Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
215,2025-05-15 07:20:00+00:00,1420.699951171875,1421.300048828125,1420.0999755859375,1420.699951171875,32936,2025-05-15 07:20:00+00:00,1421.9449890136718,1423.0719995117188
216,2025-05-15 07:21:00+00:00,1421.4000244140625,1421.800048828125,1420.699951171875,1420.699951171875,10272,2025-05-15 07:21:00+00:00,1421.934991455078,1423.0680004882813
217,2025-05-15 07:22:00+00:00,1422.0,1422.0,1421.0999755859375,1421.9000244140625,7525,2025-05-15 07:22:00+00:00,1421.9549926757813,1423.0780004882813
218,2025-05-15 07:23:00+00:00,1422.0999755859375,1422.0999755859375,1421.5999755859375,1421.5999755859375,9222,2025-05-15 07:23:00+00:00,1421.9749938964844,1423.0819995117188
219,2025-05-15 07:24:00+00:00,1421.699951171875,1422.199951171875,1421.199951171875,1422.199951171875,18412,2025-05-15 07:24:00+00:00,1421.9549926757813,1423.0699975585937
220,2025-05-15 07:25:00+00:00,1422.0999755859375,1422.300048828125,1421.5,1421.800048828125,10742,2025-05-15 07:25:00+00:00,1421.989990234375,1423.0639965820312
221,2025-05-15 07:26:00+00:00,1422.800048828125,1423.0,1421.800048828125,1422.0999755859375,28966,2025-05-15 07:26:00+00:00,1421.964990234375,1423.0659985351563
222,2025-05-15 07:27:00+00:00,1421.5999755859375,1422.5999755859375,1421.5,1422.5,21083,2025-05-15 07:27:00+00:00,1421.7849914550782,1422.9999975585938
223,2025-05-15 07:28:00+00:00,1422.0,1422.0999755859375,1421.5999755859375,1421.5999755859375,7388,2025-05-15 07:28:00+00:00,1421.7049926757813,1422.9119970703125
224,2025-05-15 07:29:00+00:00,1421.800048828125,1422.0999755859375,1421.5999755859375,1422.0,7596,2025-05-15 07:29:00+00:00,1421.6149963378907,1422.8119970703126
225,2025-05-15 07:30:00+00:00,1425.0,1426.0,1421.800048828125,1422.0,123896,2025-05-15 07:30:00+00:00,1421.7249938964844,1422.82599609375
